C204
50	700
0	847
848	1695
1696	2542
2543	3390
0	40	50	0	0	3390	0	0	0	0	0	
1	52	75	10	0	3272	90	0.1	0.5	0.1	1	
2	45	70	30	0	3279	90	0.5	0.4	0.3	1	
3	62	69	10	0	3270	90	0.8	0.7	0.1	1	
4	60	66	10	1261	1421	90	0	1	0	0	
5	42	65	10	0	3284	90	0.7	0.5	0.3	1	
6	16	42	20	0	3274	90	0.1	0.3	0.1	1	
7	58	70	20	0	3273	90	0.9	0.4	0.1	1	
8	34	60	20	2887	3047	90	0	0	0	1	
9	28	70	10	2601	2761	90	0	0	0	1	
10	35	66	10	0	3283	90	0.1	0.3	0.5	1	
11	35	69	10	2698	2858	90	0	0	0	1	
12	25	85	20	0	3261	90	0.6	0.6	0.1	1	
13	22	75	30	2405	2565	90	0	0	0.4	1	
14	22	85	10	0	3260	90	0.1	0.6	0.7	1	
15	20	80	40	2216	2376	90	0	0	1	0	
16	20	85	40	0	3259	90	0.5	0.3	0.8	1	
17	18	75	20	0	3266	90	0.9	0.9	0.5	1	
18	15	75	20	0	3264	90	0.4	0.2	0.8	1	
19	15	80	10	0	3260	90	0.7	0.8	0.9	1	
20	30	50	10	0	3290	90	0.6	0.3	0.2	1	
21	30	56	20	0	3288	90	0.8	0.1	0.3	1	
22	28	52	20	0	3287	90	0.6	0.1	0.1	1	
23	14	66	10	1643	1803	90	0	0.2	1	0	
24	25	50	10	0	3285	90	0.5	0.6	0.8	1	
25	22	66	40	2504	2664	90	0	0	0.4	1	
26	8	62	10	0	3265	90	0.7	0.4	0.4	1	
27	23	52	10	0	3282	90	0.7	0.1	0.5	1	
28	4	55	20	0	3263	90	0.7	0.6	0.5	1	
29	20	50	10	0	3280	90	0.1	0.2	0.4	1	
30	20	55	10	0	3279	90	0.5	0.9	0.7	1	
31	10	35	20	0	3266	90	0.1	0.6	0.4	1	
32	10	40	30	0	3268	90	0.6	0.5	0.1	1	
33	8	40	40	0	3266	90	0.1	0.9	0.6	1	
34	8	45	20	0	3267	90	0.4	0.1	0.9	1	
35	5	35	10	0	3261	90	0.1	0.8	0.8	1	
36	5	45	10	0	3264	90	0.1	0.1	0.8	1	
37	2	40	20	0	3260	90	0.1	0.5	0.7	1	
38	0	40	30	1063	1223	90	0	1	0	0	
39	0	45	20	0	3259	90	0.2	0.5	0.6	1	
40	36	18	10	0	3267	90	0.7	0.4	0.1	1	
41	35	32	10	0	3281	90	0.8	0.1	0.5	1	
42	33	32	20	0	3280	90	0.4	0.1	0.9	1	
43	33	35	10	0	3283	90	0.5	0.3	0.4	1	
44	32	20	10	1913	2073	90	0	0	1	0	
45	30	30	10	0	3277	90	0.8	0.3	0.4	1	
46	34	25	30	0	3274	90	0.9	0.2	0.7	1	
47	30	35	10	0	3281	90	0.1	0.7	0.8	1	
48	36	40	10	0	3289	90	0.5	0.8	0.1	1	
49	48	20	10	0	3268	90	0.5	0.1	0.5	1	
50	26	32	10	0	3277	90	0.8	0.6	0.6	1	
